id,text,created_at,user.screen_name,retweet_count,date
2,"Wat een corrupte bende. Kamer voorgelogen. Onschuldige mensen gecriminaliseerd. En Rutte, Koolmees, Hoekstra, Ollon… https://t.co/WdAColYCcV",Mon Apr 26 18:48:01 +0000 2021,geertwilderspvv,252,2021-04-26
3,Hoekstra en De Jonge staken veel tijd en energie in het sensibiliseren van Omtzigt.   #notulen https://t.co/aROTEjgbtT,Mon Apr 26 18:21:14 +0000 2021,geertwilderspvv,212,2021-04-26
4,Aantekeningen Rutte bij verhoor POK.  Ministerraad 12/07/19:  - Rol en toon coalitiefracties in debat.   Ministerra… https://t.co/rdwbDo057W,Mon Apr 26 11:14:57 +0000 2021,geertwilderspvv,281,2021-04-26
5,Hoe heeft Nederland gestemd in de VN over het lidmaatschap van het islamofascistische #Iran in de vrouwenrechtencom… https://t.co/GtH8ZX2zcm,Sun Apr 25 10:09:41 +0000 2021,geertwilderspvv,474,2021-04-25
6,"RT @EuropeElects: Netherlands, peil poll:  (Seat projection)  VVD-RE: 32 D66-RE: 22 (-2) PVV-ID: 18 (+1) CDA-EPP: 12 (-2) PvdA-S&amp;D: 9 SP→LE…",Sun Apr 25 09:05:14 +0000 2021,geertwilderspvv,37,2021-04-25
7,Goedemorgen Nederland! https://t.co/Qsh2pEDZsL,Sun Apr 25 05:09:13 +0000 2021,geertwilderspvv,116,2021-04-25
8,We willen ALLE relevante notulen van de ministerraad zien @MinPres Rutte!   Met minder nemen we geen genoegen!   Le… https://t.co/xzFJnSb8tL,Sat Apr 24 10:14:15 +0000 2021,geertwilderspvv,400,2021-04-24
9,RT @KopsPVV: “Sociale huurwoning? In zeker een kwart van de gemeenten wacht je meer dan 7 jaar” ➡️ https://t.co/y007CHkWzZ @nosop3  Dus ter…,Sat Apr 24 08:41:21 +0000 2021,geertwilderspvv,234,2021-04-24
10,Wanneer komt @groenlinks met excuses voor hun sympathie voor de #communisten die voor 100 miljoen doden hebben gezo… https://t.co/GDy4ezJawd,Fri Apr 23 19:00:40 +0000 2021,geertwilderspvv,427,2021-04-23
11,"“Een Tunesiër stak een agente die op het bureau werkte in haar nek, terwijl hij Allah Akbar riep.”  Hoeveel onschul… https://t.co/q1qYZwNDQX",Fri Apr 23 17:45:21 +0000 2021,geertwilderspvv,429,2021-04-23
12,"Interview in Hongaars weekblad Mandiner.   “Als we niet strijden, dan verliezen we onze vrijheid”  Interview in Hun… https://t.co/vORy2h0exD",Fri Apr 23 05:26:54 +0000 2021,geertwilderspvv,242,2021-04-23
13,"Moties over terrassen open zonder restricties, regels buiten afschaffen, terug naar oude normaal in verpleeghuizen,… https://t.co/Jd0c4IYVSb",Thu Apr 22 21:46:18 +0000 2021,geertwilderspvv,210,2021-04-22
14,"RT @telegraaf: Mooi dat de terrassen weer opengaan, maar waarom maar tot zes uur ’s avonds? Die vraag klinkt veelvuldig in de Tweede Kamer…",Thu Apr 22 20:35:57 +0000 2021,geertwilderspvv,89,2021-04-22
